mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Friedrich PÜRNER,Germany,NI,friedrich.puerner@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,,
Emil RADEV,Bulgaria,EPP,emil.radev@europarl.europa.eu,N/A,N/A,N/A,"Legal affairs, civil liberties, judicial cooperation, data protection, rule of law, e-CODEX digital judicial cooperation, AI Act implementation",JURI; LIBE; PETI,2024-12-15,juri_vice_chair; vice_chair,
Dennis RADTKE,Germany,EPP,dennis.radtke@europarl.europa.eu,N/A,N/A,N/A,"Social policy, employment, workers' rights, European minimum wage, platform workers' rights",EMPL,2024-12-15,coordinator,
Emma RAFOWICZ,France,S&D,emma.rafowicz@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, youth policy",CULT; LIBE,2024-12-15,,
Jüri RATAS,Estonia,EPP,juri.ratas@europarl.europa.eu,N/A,N/A,N/A,"Digital governance, e-government (former Estonian PM with extensive digital governance experience)",ITRE,2024-12-15,,
Ruggero RAZZA,Italy,ECR,ruggero.razza@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,,
Julie RECHAGNEUX,France,PfE,julie.rechagneux@europarl.europa.eu,N/A,N/A,N/A,"French national interests, legal affairs",ITRE; JURI,2024-12-15,,
Evelyn REGNER,Austria,S&D,evelyn.regner@europarl.europa.eu,N/A,N/A,N/A,"Tax justice, corporate taxation, social policy, gender equality, workers' rights, corporate sustainability reporting",ECON; EMPL; FISC; DMER,2024-12-15,chair,
Terry REINTKE,Germany,Greens/EFA,terry.reintke@europarl.europa.eu,N/A,N/A,N/A,"Rule of law, LGBTI rights, civil liberties, gender equality - Greens/EFA Co-President",CONT; SEDE,2024-12-15,,
René REPASI,Germany,S&D,rene.repasi@europarl.europa.eu,N/A,N/A,N/A,"Internal market regulation, AI Act implementation, Digital Services Act, consumer protection, economic governance, digital market regulations",ECON; JURI; ITRE; FISC,2024-12-15,,
Sabrina REPP,Germany,S&D,sabrina.repp@europarl.europa.eu,N/A,N/A,N/A,"Culture, education",CULT,2024-12-15,,
Karlo RESSLER,Croatia,EPP,karlo.ressler@europarl.europa.eu,N/A,N/A,N/A,"Budgetary policy, civil liberties, human trafficking, EU enlargement",BUDG; CONT; LIBE,2024-12-15,,
Thijs REUTEN,Netherlands,S&D,thijs.reuten@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, EU enlargement, civil liberties, rule of law",AFET; LIBE,2024-12-15,,
Diana RIBA I GINER,Spain,Greens/EFA,diana.ribaiginer@europarl.europa.eu,N/A,N/A,N/A,"Women's rights, human rights, civil liberties, EU-Central America relations",FEMM; LIBE; DCAM (Chair),2024-12-15,chair,"women-rights, gender-equality"
Matteo RICCI,Italy,S&D,matteo.ricci@europarl.europa.eu,N/A,N/A,N/A,"Transport policy, electrification of transport, environment",TRAN; ENVI,2024-12-15,vice_chair,
Chloé RIDEL,France,S&D,chloe.ridel@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, data protection, digital rights, environment",LIBE; ENVI,2024-12-15,,
Nela RIEHL,Germany,Greens/EFA,nela.riehl@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, pan-European politics",CULT,2024-12-15,,
Manuela RIPA,Germany,EPP,manuela.ripa@europarl.europa.eu,N/A,N/A,N/A,"Environment, industry, energy policy, public health, animal welfare",ITRE; ENVI; SEDE,2024-12-15,,
André RODRIGUES,Portugal,S&D,andre.rodrigues@europarl.europa.eu,N/A,N/A,N/A,"Environment, climate policy",ENVI,2024-12-15,,
Marcos ROS SEMPERE,Spain,S&D,marcos.rossempere@europarl.europa.eu,N/A,N/A,N/A,"Regional development, culture, education",REGI; CULT,2024-12-15,coordinator,
Katarína ROTH NEVEĎALOVÁ,Slovakia,NI,katarina.rothnevedalova@europarl.europa.eu,N/A,N/A,N/A,General policy,EMPL,2024-12-15,,
André ROUGÉ,France,PfE,andre.rouge@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, French interests",TRAN,2024-12-15,,
Bert-Jan RUISSEN,Netherlands,ECR,bertjan.ruissen@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, fisheries, trade policy - ECR Chief Whip",AGRI; PECH; AFET,2024-12-15,,
Sandro RUOTOLO,Italy,S&D,sandro.ruotolo@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, civil liberties",AFET; LIBE,2024-12-15,,
Bogdan RZOŃCA,Poland,ECR,bogdan.rzonca@europarl.europa.eu,N/A,N/A,N/A,"Petitions, transport, citizen engagement",PETI; TRAN,2024-12-15,chair,
Arash SAEIDI,France,The Left,arash.saeidi@europarl.europa.eu,N/A,N/A,N/A,"Human rights, legal affairs",DROI; JURI,2024-12-15,,
Christian SAGARTZ,Austria,EPP,christian.sagartz@europarl.europa.eu,N/A,N/A,N/A,"Regional development, agriculture",REGI; AGRI,2024-12-15,,
Laurence SAILLIET,France,EPP,laurence.sailliet@europarl.europa.eu,N/A,N/A,N/A,General EPP policy,EMPL,2024-12-15,,
Ilaria SALIS,Italy,The Left,ilaria.salis@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, human rights, digital rights",LIBE,2024-12-15,,"women-rights, human-rights"
Aura SALLA,Finland,EPP,aura.salla@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, industry",IMCO; ITRE,2024-12-15,,
Massimiliano SALINI,Italy,EPP,massimiliano.salini@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, industry, transport",AFET; ITRE; TRAN,2024-12-15,,
Nacho SÁNCHEZ AMOR,Spain,S&D,nacho.sanchezamor@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, civil liberties, human rights, data protection",AFET; LIBE,2024-12-15,,
Julien SANCHEZ,France,PfE,julien.sanchez@europarl.europa.eu,N/A,N/A,N/A,French national interests,CULT,2024-12-15,,
Elena SANCHO MURILLO,Spain,S&D,elena.sanchomurillo@europarl.europa.eu,N/A,N/A,N/A,"Social policy, industry",EMPL; ITRE,2024-12-15,,
Anne SANDER,France,EPP,anne.sander@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, employment",AGRI; EMPL,2024-12-15,,
Alfred SANT,Malta,S&D,alfred.sant@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, finance",ECON,2024-12-15,,
Isabel SANTOS,Portugal,S&D,isabel.santos@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, human rights",AFET,2024-12-15,,
Teófilo SANTOS,Portugal,S&D,teofilo.santos@europarl.europa.eu,N/A,N/A,N/A,Social policy,EMPL,2024-12-15,,
Jussi SARAMO,Finland,The Left,jussi.saramo@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, industry",ECON; ITRE,2024-12-15,,
Silvia SARDONE,Italy,PfE,silvia.sardone@europarl.europa.eu,N/A,N/A,N/A,"Environment, women's rights, industry",ENVI; FEMM; ITRE,2024-12-15,,
Eric SARGIACOMO,France,S&D,eric.sargiacomo@europarl.europa.eu,N/A,N/A,N/A,"Social policy, legal affairs",EMPL; JURI,2024-12-15,,
Petri SARVAMAA,Finland,EPP,petri.sarvamaa@europarl.europa.eu,N/A,N/A,N/A,"EU budget, budgetary control",BUDG; CONT,2024-12-15,,
Jacek SARYUSZ-WOLSKI,Poland,ECR,jacek.saryuszwolski@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, constitutional affairs, industry",AFET; AFCO; ITRE,2024-12-15,,
Mounir SATOURI,France,Greens/EFA,mounir.satouri@europarl.europa.eu,N/A,N/A,N/A,"Human rights, foreign affairs",DROI,2024-12-15,chair,
Paulius SAUDARGAS,Lithuania,EPP,paulius.saudargas@europarl.europa.eu,N/A,N/A,N/A,"Industry, research, internal market, consumer protection, digital policy",ITRE; IMCO,2024-12-15,,
Majdouline SBAI,France,The Left,majdouline.sbai@europarl.europa.eu,N/A,N/A,N/A,"Social policy, women's rights",FEMM,2024-12-15,,
Antonella SBERNA,Italy,ECR,antonella.sberna@europarl.europa.eu,N/A,N/A,N/A,"Legal affairs, constitutional affairs",JURI; AFCO,2024-12-15,,
Christel SCHALDEMOSE,Denmark,S&D,christel.schaldemose@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, digital services, internal market, AI Act, Digital Services Act - Key rapporteur on digital legislation",IMCO,2024-12-15,dsa_rapporteur; rapporteur,"consumer-protection, digital-services, women-rights"
Ernő SCHALLER-BAROSS,Hungary,PfE,erno.schallerbaross@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, legal affairs",IMCO; JURI,2024-12-15,,
Oliver SCHENK,Germany,EPP,oliver.schenk@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, data protection, industry",LIBE; ITRE,2024-12-15,,
Joanna SCHEURING-WIELGUS,Poland,S&D,joanna.scheuringwielgus@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, women's rights",IMCO; FEMM,2024-12-15,,
Andreas SCHIEDER,Austria,S&D,andreas.schieder@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, international trade",AFET; INTA,2024-12-15,,
Lena SCHILLING,Austria,Greens/EFA,lena.schilling@europarl.europa.eu,N/A,N/A,N/A,"Environment, foreign affairs - Youngest MEP (23)",ENVI; AFET,2024-12-15,,
Martin SCHIRDEWAN,Germany,The Left,martin.schirdewan@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation - The Left Co-Chair",ECON,2024-12-15,,
Simone SCHMIEDTBAUER,Austria,EPP,simone.schmiedtbauer@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, rural development",AGRI,2024-12-15,,
Nicolas SCHMIT,Luxembourg,S&D,nicolas.schmit@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs (former EU Commissioner)",EMPL,2024-12-15,,
Christine SCHNEIDER,Germany,EPP,christine.schneider@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, environment, rural policy",AGRI; ENVI,2024-12-15,,
Volker SCHNURRBUSCH,Germany,ESN,volker.schnurrbusch@europarl.europa.eu,N/A,N/A,N/A,National sovereignty,BUDG,2024-12-15,,
Helmut SCHOLZ,Germany,The Left,helmut.scholz@europarl.europa.eu,N/A,N/A,N/A,"International trade, foreign affairs, constitutional affairs",INTA; AFET; AFCO,2024-12-15,,
Joachim SCHUSTER,Germany,S&D,joachim.schuster@europarl.europa.eu,N/A,N/A,N/A,"International trade, employment",INTA; EMPL,2024-12-15,,
Andreas SCHWAB,Germany,EPP,andreas.schwab@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, Digital Markets Act rapporteur, AI Act, competition policy",IMCO,2024-12-15,dma_rapporteur; rapporteur,
Benedetta SCUDERI,Italy,Greens/EFA,benedetta.scuderi@europarl.europa.eu,N/A,N/A,N/A,"Industry, research, energy, digital policy, green technology",ITRE,2024-12-15,,
Ralf SEEKATZ,Germany,EPP,ralf.seekatz@europarl.europa.eu,N/A,N/A,N/A,Economic policy,ECON,2024-12-15,,
Aušra SEIBUTYTĖ,Lithuania,EPP,ausra.seibutyte@europarl.europa.eu,N/A,N/A,N/A,"Employment, agriculture",EMPL; AGRI,2024-12-15,,
Alexander SELL,Germany,ESN,alexander.sell@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, national sovereignty",LIBE,2024-12-15,,
Anders SELLSTRÖM,Sweden,EPP,anders.sellstrom@europarl.europa.eu,N/A,N/A,N/A,"Employment, social policy",EMPL,2024-12-15,,
Rosa SERRANO SIERRA,Spain,S&D,rosa.serranosierra@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs",EMPL,2024-12-15,,
Isabel SERRA SÁNCHEZ,Spain,The Left,isabel.serrasanchez@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, human rights, digital rights",LIBE,2024-12-15,,
Günther SIDL,Austria,S&D,guenther.sidl@europarl.europa.eu,N/A,N/A,N/A,"Environment, public health, industry",ENVI; ITRE,2024-12-15,,
Czesław Adam SIEKIERSKI,Poland,EPP,czeslawawadam.siekierski@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, rural development",AGRI,2024-12-15,,
Bartłomiej SIENKIEWICZ,Poland,EPP,bartlomiej.sienkiewicz@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, security, data protection",LIBE,2024-12-15,,
Lukas SIEPER,Germany,Greens/EFA,lukas.sieper@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, finance",ECON,2024-12-15,,
Radosław SIKORSKI,Poland,EPP,radoslaw.sikorski@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, security, transatlantic relations",AFET,2024-12-15,,
Pedro SILVA PEREIRA,Portugal,S&D,pedro.silvapereira@europarl.europa.eu,N/A,N/A,N/A,"Constitutional affairs, institutional reform",AFCO,2024-12-15,,
Sven SIMON,Germany,EPP,sven.simon@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, security",AFET,2024-12-15,,
Christine SINGER,Germany,ESN,christine.singer@europarl.europa.eu,N/A,N/A,N/A,National sovereignty,AGRI,2024-12-15,,
Birgit SIPPEL,Germany,S&D,birgit.sippel@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, data protection, privacy, digital rights, justice and home affairs - Key LIBE expert",LIBE,2024-12-15,,
Theodoros SKYLAKAKIS,Greece,Renew,theodoros.skylakakis@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, budgets",ECON; BUDG,2024-12-15,,
Krzysztof ŚMISZEK,Poland,S&D,krzysztof.smiszek@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, human rights, legal affairs, LGBTI rights, data protection",LIBE; JURI,2024-12-15,,
Sander SMIT,Netherlands,EPP,sander.smit@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, data protection, security",LIBE,2024-12-15,,
Vincenzo SOFO,Italy,ECR,vincenzo.sofo@europarl.europa.eu,N/A,N/A,N/A,"Conservative politics, Italian sovereignty, national identity",AFET,2024-12-15,,
Tomislav SOKOL,Croatia,EPP,tomislav.sokol@europarl.europa.eu,N/A,N/A,N/A,"Public health, consumer protection, internal market, digital services, Balkans relations",SANT; IMCO; ENVI; AFCO,2024-12-15,,
Diego SOLIER,Spain,S&D,diego.solier@europarl.europa.eu,N/A,N/A,N/A,"Social affairs, labour rights, Spanish progressive policies",EMPL,2024-12-15,,
Jordi SOLÉ,Spain,Greens/EFA,jordi.sole@europarl.europa.eu,N/A,N/A,N/A,"Catalan rights, regional autonomy, environmental policy",AFET; DROI,2024-12-15,,
Liesbet SOMMEN,Belgium,EPP,liesbet.sommen@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs, Christian democratic values",EMPL,2024-12-15,,
Martin SONNEBORN,Germany,NI,martin.sonneborn@europarl.europa.eu,N/A,N/A,N/A,"Political satire, transparency, media freedom",CONT,2024-12-15,,
Malika SOREL,France,PfE,malika.sorel@europarl.europa.eu,N/A,N/A,N/A,"National identity, immigration policy, French sovereignty",LIBE,2024-12-15,,
Diana ȘOȘOACĂ,Romania,NI,diana.sosoaca@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, conservative values, civil liberties",LIBE,2024-12-15,,
Villy SØVNDAL,Denmark,Greens/EFA,villy.sovndal@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, Ukraine support, employment, security and defence",AFET; EMPL; SEDE,2024-12-15,,
Maria SPYRAKI,Greece,EPP,maria.spyraki@europarl.europa.eu,N/A,N/A,N/A,"Energy storage, hydrogen technology, ecodesign, chemicals regulation, AI and digital innovation",ITRE; ENVI; REGI,2024-12-15,,
Nicolae ȘTEFĂNUȚĂ,Romania,Greens/EFA,nicolae.stefanuta@europarl.europa.eu,N/A,N/A,N/A,"Ukraine support, sustainability, democracy, environmental policy",ENVI; BUDG,2024-12-15,,
Davor Ivo STIER,Croatia,EPP,davor.stier@europarl.europa.eu,N/A,N/A,N/A,"Western Balkans, Kosovo relations, foreign affairs",D-KS (Chair); AFET,2024-12-15,chair,
Tineke STRIK,Netherlands,Greens/EFA,tineke.strik@europarl.europa.eu,N/A,N/A,N/A,"Migration, human rights, rule of law, Frontex accountability, data protection",AFET; DROI; LIBE,2024-12-15,,
Ramona STRUGARIU,Romania,Renew Europe,ramona.strugariu@europarl.europa.eu,N/A,N/A,N/A,"Anti-corruption, rule of law, digital rights, civil liberties, AI governance",LIBE; AFET,2024-12-15,,
Dubravka ŠUICA,Croatia,EPP,dubravka.suica@europarl.europa.eu,N/A,N/A,N/A,"Democracy, demography, European integration",AFCO; EMPL,2024-12-15,,
Virginijus SINKEVIČIUS,Lithuania,Greens/EFA,virginijus.sinkevicius@europarl.europa.eu,N/A,N/A,N/A,Environment; biodiversity; oceans; fisheries; climate policy; former EU Environment Commissioner,ENVI; PECH; ITRE,2024-12-15,,
Sara SKYTTEDAL,Sweden,EPP,sara.skyttedal@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; digital policy; Christian democratic values; energy policy; conservative social policy,ITRE; AFET,2024-12-15,,
Marjan ŠAREC,Slovenia,Renew Europe,marjan.sarec@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; security (former Slovenian PM); European integration; Slovenian interests; liberal reforms,AFET; SEDE,2024-12-15,,
Michaela ŠOJDROVÁ,Czechia,EPP,michaela.sojdrova@europarl.europa.eu,N/A,N/A,N/A,"Education, culture, youth policy, Christian democratic values",CULT; EMPL,2024-12-15,,
Beata SZYDŁO,Poland,ECR,beata.szydlo@europarl.europa.eu,N/A,N/A,N/A,"Industry, research, energy, transport, European Democracy Shield, AI and digital policy",ITRE; EUDS; BUDG; TRAN,2024-12-15,,
Dario TAMBURRANO,Italy,The Left,dario.tamburrano@europarl.europa.eu,N/A,N/A,N/A,"Energy transition, transport, digital innovation, climate policy",ITRE; TRAN,2024-12-15,,
António TÂNGER CORRÊA,Portugal,PfE,antonio.tanger.correa@europarl.europa.eu,N/A,N/A,N/A,"Conservative values, Portuguese sovereignty, immigration policy",AFET,2024-12-15,,
Dominik TARCZYŃSKI,Poland,ECR,dominik.tarczynski@europarl.europa.eu,N/A,N/A,N/A,"Conservative values, national sovereignty, security",LIBE; AFET,2024-12-15,,
Marco TARQUINIO,Italy,S&D,marco.tarquinio@europarl.europa.eu,N/A,N/A,N/A,"Peace issues, foreign affairs, human rights, media",DROI; AFET,2024-12-15,,
Zoltán TARR,Hungary,EPP,zoltan.tarr@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, pro-European Hungarian opposition, media policy",CULT,2024-12-15,coordinator,
Claudiu-Richard TÂRZIU,Romania,ECR,claudiu.tarziu@europarl.europa.eu,N/A,N/A,N/A,"Conservative nationalism, family values, sovereignty",AFET,2024-12-15,,
Carla TAVARES,Portugal,S&D,carla.tavares@europarl.europa.eu,N/A,N/A,N/A,"Social affairs, labour rights, equality",EMPL,2024-12-15,,
Kai TEGETHOFF,Germany,Greens/EFA,kai.tegethoff@europarl.europa.eu,N/A,N/A,N/A,"Pan-European integration, green policies, digital democracy",AFCO; ENVI,2024-12-15,,
Marta TEMIDO,Portugal,S&D,marta.temido@europarl.europa.eu,N/A,N/A,N/A,"Health policy, human rights, public health systems",DROI; SANT,2024-12-15,vice_chair,
Georgiana TEODORESCU,Romania,ECR,georgiana.teodorescu@europarl.europa.eu,N/A,N/A,N/A,"Conservative values, Romanian sovereignty",LIBE; FEMM,2024-12-15,,
Alice TEODORESCU MÅWE,Sweden,EPP,alice.teodorescu.mawe@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic values, media, culture",CULT,2024-12-15,,
Cristian TERHEȘ,Romania,ECR,cristian.terhes@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, sovereignty, foreign affairs, digital privacy, data protection",CONT; AFET; SEDE; EUDS,2024-12-15,vice_chair,
Ingeborg TER LAAK,Netherlands,EPP,ingeborg.terlaak@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic policies, social affairs",EMPL,2024-12-15,,
Riho TERRAS,Estonia,EPP,riho.terras@europarl.europa.eu,N/A,N/A,N/A,"Defence and security, NATO, cybersecurity, transatlantic relations, military capabilities",SEDE; AFET,2024-12-15,sede_vice_chair; vice_chair,
Hermann TERTSCH,Spain,PfE,hermann.tertsch@europarl.europa.eu,N/A,N/A,N/A,"Conservative politics, Spanish sovereignty, foreign affairs",AFET,2024-12-15,,
Pierre-Romain THIONNET,France,PfE,pierre-romain.thionnet@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, immigration, French interests",LIBE,2024-12-15,,
Beatrice TIMGREN,Sweden,ECR,beatrice.timgren@europarl.europa.eu,N/A,N/A,N/A,"Immigration policy, national identity, Swedish interests",LIBE; FEMM,2024-12-15,,"women-rights, migration"
Irene TINAGLI,Italy,S&D,irene.tinagli@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, digital euro, banking regulation, financial services, housing policy, AI in finance",HOUS; ECON; ITRE; ENVI,2024-12-15,chair,
Bruno TOBBACK,Belgium,S&D,bruno.tobback@europarl.europa.eu,N/A,N/A,N/A,"Social democratic policies, environment, energy",ENVI,2024-12-15,,
Tomas TOBÉ,Sweden,EPP,tomas.tobe@europarl.europa.eu,N/A,N/A,N/A,"Development aid, migration, asylum policy, civil liberties, digital policy",DEVE; LIBE; ITRE; EUDS,2024-12-15,chair; deve_chair,
Rody TOLASSY,France,PfE,rody.tolassy@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, French interests, immigration",LIBE,2024-12-15,,
Eugen TOMAC,Romania,Renew Europe,eugen.tomac@europarl.europa.eu,N/A,N/A,N/A,"Pro-European reform, Romanian diaspora, Moldova relations",CULT; EMPL; PETI,2024-12-15,,
Zala TOMAŠIČ,Slovenia,EPP,zala.tomasic@europarl.europa.eu,N/A,N/A,N/A,"Conservative Slovenian policies, justice",JURI; LIBE,2024-12-15,,
Waldemar TOMASZEWSKI,Lithuania,ECR,waldemar.tomaszewski@europarl.europa.eu,N/A,N/A,N/A,"Polish minority rights, Christian family values",CULT; PETI,2024-12-15,,
Romana TOMC,Slovenia,EPP,romana.tomc@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs, pension policy",EMPL,2024-12-15,,
Matej TONIN,Slovenia,EPP,matej.tonin@europarl.europa.eu,N/A,N/A,N/A,"Defence, security, Christian democratic values",SEDE; AFET,2024-12-15,,
Jana TOOM,Estonia,Renew Europe,jana.toom@europarl.europa.eu,N/A,N/A,N/A,"EU citizenship rights, digital policy, AI governance, stateless persons, data protection",EMPL; PETI; JURI; FEMM; HOUS,2024-12-15,coordinator,"women-rights, citizenship, digital-policy"
Raffaele TOPO,Italy,S&D,raffaele.topo@europarl.europa.eu,N/A,N/A,N/A,"Italian socialist agenda, regional development",REGI,2024-12-15,,
Francesco TORSELLI,Italy,ECR,francesco.torselli@europarl.europa.eu,N/A,N/A,N/A,"Conservative Italian policies, industry, digital innovation",ITRE,2024-12-15,,
Flavio TOSI,Italy,EPP,flavio.tosi@europarl.europa.eu,N/A,N/A,N/A,"Center-right Italian policies, local governance",ITRE; REGI,2024-12-15,,
Marie TOUSSAINT,France,Greens/EFA,marie.toussaint@europarl.europa.eu,N/A,N/A,N/A,"Climate justice, ecocide recognition, environmental law, Green Deal, corporate accountability, renewable energy",ENVI; ECON; ITRE; SANT; FISC; HOUS,2024-12-15,coordinator,
Isabella TOVAGLIERI,Italy,PfE,isabella.tovaglieri@europarl.europa.eu,N/A,N/A,N/A,"Industry, Made in Italy protection, AI Act implementation, digital services, women's rights",ITRE; INTA; AGRI,2024-12-15,,
Pekka TOVERI,Finland,EPP,pekka.toveri@europarl.europa.eu,N/A,N/A,N/A,"Security, defence, cybersecurity, NATO cooperation",SEDE; AFET,2024-12-15,,
Pasquale TRIDICO,Italy,The Left,pasquale.tridico@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, labour economics, social security, workers' rights",ECON; TRAN,2024-12-15,,
Laurence TROCHU,France,ECR,laurence.trochu@europarl.europa.eu,N/A,N/A,N/A,"Conservative values, environment, family policy",ENVI,2024-12-15,,
Dimitris TSIODRAS,Greece,EPP,dimitris.tsiodras@europarl.europa.eu,N/A,N/A,N/A,"Greek center-right policies, public health",SANT; ENVI,2024-12-15,,
Mihai TUDOSE,Romania,S&D,mihai.tudose@europarl.europa.eu,N/A,N/A,N/A,"Security and defence, foreign affairs, critical infrastructure protection, cybersecurity",SEDE; AFET,2024-12-15,vice_chair,
Sebastian TYNKKYNEN,Finland,ECR,sebastian.tynkkynen@europarl.europa.eu,N/A,N/A,N/A,"Immigration policy, Finnish interests, national sovereignty",LIBE; CULT,2024-12-15,,
Stanisław TYSZKA,Poland,ESN,stanislaw.tyszka@europarl.europa.eu,N/A,N/A,N/A,"Sovereignty, libertarian-conservative policies",AFCO; ECON,2024-12-15,,
Milan UHRÍK,Slovakia,ESN,milan.uhrik@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, conservative nationalism",LIBE; AFET,2024-12-15,,
Nils UŠAKOVS,Latvia,S&D,nils.usakovs@europarl.europa.eu,N/A,N/A,N/A,"Social democratic policies, urban development, local governance",REGI; TRAN,2024-12-15,,
Inese VAIDERE,Latvia,EPP,inese.vaidere@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital single market, data governance",IMCO; ECON,2024-12-15,,
Ivaylo VALCHEV,Bulgaria,ECR,ivaylo.valchev@europarl.europa.eu,N/A,N/A,N/A,"Conservative policies, internal market",IMCO; AGRI,2024-12-15,,
Adina-Ioana VĂLEAN,Romania,EPP,adina.valean@europarl.europa.eu,N/A,N/A,N/A,"Transport, infrastructure, digital policy, AI applications in transport",IMCO; TRAN,2024-12-15,,
Matthieu VALET,France,PfE,matthieu.valet@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, security, law enforcement",LIBE,2024-12-15,,
Kathleen VAN BREMPT,Belgium,S&D,kathleen.vanbrempt@europarl.europa.eu,N/A,N/A,N/A,"Social democratic policies, industry, environment, climate",ITRE; ENVI,2024-12-15,,
Anouk VAN BRUG,Netherlands,Renew Europe,anouk.vanbrug@europarl.europa.eu,N/A,N/A,N/A,"Liberal democratic policies, economic affairs",ECON; BUDG,2024-12-15,,
Brigitte VAN DEN BERG,Netherlands,Renew Europe,brigitte.vandenberg@europarl.europa.eu,N/A,N/A,N/A,"Liberal progressive policies, civil liberties",LIBE; AFET,2024-12-15,,
Tom VANDENDRIESSCHE,Belgium,PfE,tom.vandendriessche@europarl.europa.eu,N/A,N/A,N/A,"Flemish nationalism, sovereignty, internal market",IMCO; AFET,2024-12-15,,
Kris VAN DIJCK,Belgium,ECR,kris.vandijck@europarl.europa.eu,N/A,N/A,N/A,"Conservative policies, Flemish interests",BUDG; CONT,2024-12-15,,
Reinier VAN LANSCHOT,Netherlands,Greens/EFA,reinier.vanlanschot@europarl.europa.eu,N/A,N/A,N/A,"Pan-European progressive policies, digital innovation, sustainability",IMCO; ECON,2024-12-15,,
Jessika VAN LEEUWEN,Netherlands,EPP,jessika.vanleeuwen@europarl.europa.eu,N/A,N/A,N/A,"Agricultural interests, rural communities, farmers' rights",AGRI,2024-12-15,,
Roberto VANNACCI,Italy,PfE,roberto.vannacci@europarl.europa.eu,N/A,N/A,N/A,"Right-wing nationalism, security, defence",AFET; LIBE,2024-12-15,,
Johan VAN OVERTVELDT,Belgium,ECR,johan.vanovertveldt@europarl.europa.eu,N/A,N/A,N/A,"Budget policy, fiscal affairs, economic governance, research funding",BUDG; ECON,2024-12-15,budg_chair; chair,
Kim VAN SPARRENTAK,Netherlands,Greens/EFA,kim.vansparrentak@europarl.europa.eu,N/A,N/A,N/A,"Digital rights, privacy, platform economy, AI governance, data protection, gender equality",IMCO; FEMM,2024-12-15,,"women-rights, digital-rights, platform-work"
